url_start,qty_all,qty_unique_user,qty_in,qty_out
/secure/autopaymentsmobile/all/new/create.aspx,665,414,665,635
/secure/autopaymentsmobile/all/select.aspx,1187,678,1187,1135
/secure/autopaymentsmobile/all/tax/confirmation.aspx,9,4,9,11
/secure/autopaymentsmobile/all/tax/create.aspx,96,77,96,100
/secure/autopaymentsmobile/all/tax/info.aspx,20,6,20,17
/secure/blockeduserinfo.aspx,2,1,2,2
/secure/bonusprogram/charitablepackage/compensate/complete.aspx,26,9,26,26
/secure/bonusprogram/charitablepackage/compensate/confirmation.aspx,29,10,29,29
/secure/bonusprogram/charitablepackage/compensate/create.aspx,35,13,35,36
/secure/bonusprogram/charitablepackage/compensate/info.aspx,8,6,8,8
/secure/bonusprogram/charitablepackage/info.aspx,72,41,72,75
/secure/bonusprogram/compensate/withdrawalcash.aspx,122,107,122,132
/secure/bonusprogram/mkbbonus/compensate/complete.aspx,432,387,432,447
/secure/bonusprogram/mkbbonus/compensate/confirmation.aspx,462,403,462,462
/secure/bonusprogram/mkbbonus/compensate/create.aspx,1326,957,1326,1416
/secure/bonusprogram/mkbbonus/main.aspx,7617,3633,7617,8842
/secure/cardactivation/complete.aspx,1174,986,1174,1306
/secure/cardactivation/confirmation.aspx,1368,1121,1368,1373
/secure/cardactivation/create.aspx,2032,1302,2032,2061
/secure/cardareaaction/complete.aspx,33,28,33,34
/secure/cardareaaction/confirmation.aspx,47,39,47,48
/secure/cardareaaction/create.aspx,328,266,328,334
/secure/cardblock/complete.aspx,164,135,164,186
/secure/cardblock/confirmation.aspx,218,174,218,220
/secure/cardblock/create.aspx,308,215,308,315
/secure/cardchoice/cardchoice.aspx,357,232,357,371
/secure/cardcreditnew/cardcreditchoice.aspx,121,76,121,137
/secure/cardnew/complete.aspx,38,33,38,39
/secure/cardnew/confirmation.aspx,55,39,55,56
/secure/cardnew/create.aspx,250,119,250,268
/secure/cardoperations.aspx,29887,10231,29887,32171
/secure/cardpinchange/complete.aspx,269,226,269,302
/secure/cardpinchange/confirmation.aspx,375,272,375,380
/secure/cardpinchange/create.aspx,462,310,462,467
/secure/cardrenew/complete.aspx,43,36,43,45
/secure/cardrenew/confirmation.aspx,48,43,48,49
/secure/cardrenew/create.aspx,174,108,174,179
/secure/cardsmsinforming/changephone/complete.aspx,5,4,5,6
/secure/cardsmsinforming/changephone/confirmation.aspx,6,4,6,6
/secure/cardsmsinforming/changephone/create.aspx,102,64,102,106
/secure/cardsmsinforming/connect/complete.aspx,24,22,24,26
/secure/cardsmsinforming/connect/confirmation.aspx,40,35,40,40
/secure/cardsmsinforming/connect/create.aspx,75,50,75,77
/secure/cardsmsinforming/disconnect/complete.aspx,404,368,404,443
/secure/cardsmsinforming/disconnect/confirmation.aspx,467,422,467,468
/secure/cardsmsinforming/disconnect/create.aspx,525,440,525,529
/secure/cardtoaccount/complete.aspx,121,58,121,124
/secure/cardtoaccount/confirmation.aspx,127,64,127,128
/secure/cardtoaccount/create.aspx,458,289,458,463
/secure/cardtocardtransboundary/create.aspx,90,73,90,102
/secure/cardtocardtransfer/complete.aspx,3444,2281,3444,3935
/secure/cardtocardtransfer/confirmation.aspx,4532,2751,4532,4567
/secure/cardtocardtransfer/create.aspx,7141,3664,7141,7260
/secure/cardtransferfromclosed/complete.aspx,37,33,37,44
/secure/cardtransferfromclosed/confirmation.aspx,48,40,48,48
/secure/cardtransferfromclosed/create.aspx,144,98,144,149
/secure/cardunblock/complete.aspx,28,23,28,29
/secure/cardunblock/confirmation.aspx,34,24,34,34
/secure/cardunblock/create.aspx,38,27,38,38
/secure/codeword/complete.aspx,29,28,29,33
/secure/codeword/confirmation.aspx,33,32,33,33
/secure/codeword/create.aspx,51,48,51,52
/secure/communication/dialog.aspx,157,86,157,167
/secure/communication/dialogmobile.aspx,172,70,172,110
/secure/communication/feedback.aspx,498,306,498,528
/secure/communication/feedbackcomplete.aspx,130,113,130,145
/secure/communication/feedbackconfirmation.aspx,179,152,179,186
/secure/communication/feedbackconfirmationmobile.aspx,72,62,72,118
/secure/communication/feedbackmobile.aspx,392,196,392,378
/secure/communication/messageslist.aspx,1353,603,1353,1461
/secure/communication/messageslistmobile.aspx,717,317,717,750
/secure/currencyrating/bankcurrencyrating.aspx,4,2,4,5
/secure/dcards.aspx,21994,8702,21994,23878
/secure/dcardsarchive.aspx,51,36,51,52
/secure/depositallinclusive/change/complete.aspx,9,8,9,9
/secure/depositallinclusive/change/confirmation.aspx,18,14,18,19
/secure/depositallinclusive/change/create.aspx,330,253,330,338
/secure/depositallinclusive/changeacc/complete.aspx,17,11,17,17
/secure/depositallinclusive/changeacc/confirmation.aspx,22,15,22,22
/secure/depositallinclusive/changeacc/create.aspx,66,46,66,68
/secure/depositallinclusive/new/complete.aspx,139,112,139,146
/secure/depositallinclusive/new/confirmation.aspx,191,129,191,191
/secure/depositallinclusive/new/create.aspx,9281,4616,9281,9580
/secure/depositclose/confirmation.aspx,3069,1968,3069,3092
/secure/depositclose/create.aspx,3440,2043,3440,3459
/secure/depositcommon/complete.aspx,2936,2422,2936,3553
/secure/depositcommon/confirmation.aspx,4099,3037,4099,4112
/secure/depositcommon/create.aspx,6825,3796,6825,7000
/secure/deps.aspx,21423,7926,21423,24121
/secure/depsarchive.aspx,143,88,143,158
/secure/depsops.aspx,9069,4270,9069,9434
/secure/directory.aspx,8859,3358,8859,8943
/secure/disagreements/confirmation.aspx,19,16,19,19
/secure/disagreements/create.aspx,35,21,35,35
/secure/disagreements/intro.aspx,96,69,96,97
/secure/documentreference/download.aspx,286,155,286,331
/secure/earlyrepaymentloan/complete.aspx,101,85,101,111
/secure/earlyrepaymentloan/confirmation.aspx,123,98,123,124
/secure/earlyrepaymentloan/create.aspx,225,131,225,241
/secure/earlyrepaymentloanmobile/create.aspx,6,4,6,4
/secure/expenseslimits/complete.aspx,119,80,119,132
/secure/expenseslimits/confirmation.aspx,137,85,137,137
/secure/expenseslimits/create.aspx,302,205,302,310
/secure/financecons/fcgoals.aspx,1,1,1,1
/secure/fps/complete.aspx,5525,2784,5525,7301
/secure/fps/confirmation.aspx,7952,3864,7952,7975
/secure/fps/create.aspx,11051,4392,11051,11179
/secure/fps/settings/account/complete.aspx,136,114,136,140
/secure/fps/settings/account/confirmation.aspx,152,120,152,152
/secure/fps/settings/account/create.aspx,172,133,172,174
/secure/fps/settings/bank/complete.aspx,26,20,26,26
/secure/fps/settings/bank/confirmation.aspx,29,24,29,29
/secure/fps/settings/bank/create.aspx,41,34,41,41
/secure/fps/settings/change/complete.aspx,34,30,34,35
/secure/fps/settings/change/confirmation.aspx,38,31,38,38
/secure/fps/settings/change/create.aspx,53,40,53,53
/secure/fps/settings/delete/complete.aspx,7,7,7,8
/secure/fps/settings/delete/confirmation.aspx,13,10,13,13
/secure/fps/settings/delete/create.aspx,18,14,18,18
/secure/fps/settings/main.aspx,545,355,545,555
/secure/giszkh/complete.aspx,52,14,52,52
/secure/giszkh/confirmation.aspx,49,14,49,49
/secure/giszkh/create.aspx,55,14,55,55
/secure/giszkh/paymentsearch.aspx,92,34,92,95
/secure/government/search.aspx,1589,652,1589,1632
/secure/government/smav/taxview.aspx,1273,555,1273,1351
/secure/help.aspx,1,1,1,1
/secure/info.aspx,668,464,668,692
/secure/informingsettings/cards.aspx,113,85,113,124
/secure/informingsettings/deposits.aspx,50,42,50,52
/secure/informingsettings/operationsinsystem.aspx,106,80,106,113
/secure/informingsettings/select.aspx,551,315,551,575
/secure/insurance/complete.aspx,2,2,2,2
/secure/insurance/confirmation.aspx,2,2,2,2
/secure/insurance/create.aspx,4,3,4,6
/secure/insurance/insuranceinfo.aspx,37,29,37,39
/secure/insurance/list.aspx,293,248,293,312
/secure/insurance/select.aspx,14,11,14,14
/secure/insurancecorona/create.aspx,4,4,4,5
/secure/intrabank/complete.aspx,370,260,370,436
/secure/intrabank/confirmation.aspx,445,315,445,446
/secure/intrabank/create.aspx,1334,718,1334,1354
/secure/limitoperation.aspx,12,8,12,13
/secure/litecreditcardrequest/create.aspx,2,2,2,2
/secure/litecreditrequest/create.aspx,24,7,24,23
/secure/loans.aspx,4105,1895,4105,4706
/secure/main.aspx,99416,26828,99416,79687
/secure/mkbtravel/main.aspx,356,226,356,380
/secure/mkbtravel/travelservice.aspx,161,79,161,179
/secure/mobile/handlers/complete.ashx,383,375,383,643
/secure/moscowenergomarket/complete.aspx,1663,1082,1663,1727
/secure/moscowenergomarket/confirmation.aspx,1812,1147,1812,1814
/secure/moscowenergomarket/create.aspx,2456,1300,2456,2523
/secure/moscowregionhomepay/complete.aspx,270,191,270,286
/secure/moscowregionhomepay/confirmation.aspx,297,207,297,298
/secure/moscowregionhomepay/create.aspx,495,312,495,506
/secure/multicurrencycard/addaccount/complete.aspx,7,5,7,7
/secure/multicurrencycard/addaccount/confirmation.aspx,11,9,11,11
/secure/multicurrencycard/addaccount/create.aspx,43,34,43,43
/secure/multicurrencycard/defaultaccount/complete.aspx,7,4,7,7
/secure/multicurrencycard/defaultaccount/confirmation.aspx,9,4,9,9
/secure/news.aspx,3696,2030,3696,3803
/secure/openaccount/complete.aspx,50,47,50,51
/secure/openaccount/confirmation.aspx,71,57,71,72
/secure/openaccount/create.aspx,342,269,342,353
/secure/openbrokerageaccount/create.aspx,8,8,8,9
/secure/opensavingsaccount/complete.aspx,115,90,115,115
/secure/opensavingsaccount/confirmation.aspx,251,209,251,263
/secure/opensavingsaccount/create.aspx,800,541,800,825
/secure/operations.aspx,14655,4508,14655,15794
/secure/ops.aspx,6543,3274,6543,6865
/secure/ordercash.aspx,74,50,74,96
/secure/paymentcomplete.aspx,14480,7637,14480,15449
/secure/paymentconfirmation.aspx,16015,8242,16015,16029
/secure/paymentform.aspx,23692,9861,23692,24014
/secure/paymentservices/complete.aspx,3448,2081,3448,3969
/secure/paymentservices/confirmation.aspx,4222,2434,4222,4228
/secure/paymentservices/create.aspx,5344,2569,5344,5406
/secure/printclientbankdetails.aspx,420,299,420,545
/secure/purposeloan/adddocs/complete.aspx,4,2,4,4
/secure/purposeloan/adddocs/create.aspx,29,4,29,29
/secure/purposeloan/create.aspx,3,3,3,3
/secure/purposeloan/select.aspx,55,41,55,72
/secure/purposeloanaddrequest/addphoto.aspx,112,79,112,130
/secure/purposeloanaddrequest/calculator.aspx,494,251,494,551
/secure/purposeloanaddrequest/complete.aspx,52,52,52,60
/secure/purposeloanaddrequest/personaldata.aspx,186,132,186,189
/secure/purposeloanaddrequest/privatedata.aspx,176,116,176,187
/secure/purposeloanaddrequestmobile/addphoto.aspx,1168,836,1168,1332
/secure/purposeloanaddrequestmobile/calculator.aspx,3746,2220,3746,3461
/secure/purposeloanaddrequestmobile/cardcreditchoice.aspx,1851,1260,1851,1734
/secure/purposeloanaddrequestmobile/personaldata.aspx,2395,1615,2395,2127
/secure/purposeloanaddrequestmobile/privatedata.aspx,1983,1328,1983,2254
/secure/purposeloanmobile/addcardloanlimit.aspx,8,4,8,4
/secure/purposeloanmobile/confirmation.aspx,1,1,1,3
/secure/purposeloanmobile/list.aspx,2,2,2,3
/secure/rentalsafe/complete.aspx,2,2,2,2
/secure/rentalsafe/rentalsafe.aspx,4,3,4,5
/secure/repaymentofcreditsways.aspx,549,315,549,557
/secure/savingaccountpurpose/close/complete.aspx,2,2,2,2
/secure/savingaccountpurpose/close/create.aspx,2,2,2,2
/secure/savingaccountpurpose/complete.aspx,13,10,13,13
/secure/savingaccountpurpose/confirmation.aspx,11,10,11,11
/secure/savingaccountpurpose/create.aspx,52,50,52,53
/secure/servicepackages/disconnect/complete.aspx,2,2,2,2
/secure/servicepackages/disconnect/confirmation.aspx,2,2,2,2
/secure/servicepackages/disconnect/create.aspx,6,5,6,6
/secure/servicepackages/list.aspx,462,296,462,507
/secure/servicepackages/smsinform/create.aspx,1,1,1,1
/secure/servicepackages/viewsettings.aspx,9,8,9,9
/secure/signdocument/complete.aspx,19,17,19,20
/secure/signdocument/confirmation.aspx,21,18,21,21
/secure/signdocument/create.aspx,36,27,36,40
/secure/singlepaymentdocument/complete.aspx,2139,1385,2139,2221
/secure/singlepaymentdocument/confirmation.aspx,2250,1452,2250,2250
/secure/singlepaymentdocument/create.aspx,3047,1644,3047,3125
/secure/stateservices/complete.aspx,523,334,523,580
/secure/stateservices/confirmation.aspx,603,380,603,613
/secure/stateservices/create.aspx,1068,491,1068,1095
/secure/subscribe/list.aspx,97,88,97,104
/secure/systemsettings/loginchange.aspx,55,53,55,63
/secure/systemsettings/passwordchange.aspx,137,111,137,170
/secure/systemsettings/selectsysoper.aspx,754,513,754,786
/secure/transferbyphone/create.aspx,7,6,7,8
/secure/uralring/complete.aspx,62,49,62,66
/secure/uralring/confirmation.aspx,79,56,79,79
/secure/uralring/create.aspx,134,84,134,147
/secure/userblock.aspx,84,71,84,94
/secure/viewsettings.aspx,981,666,981,999
